,name_in_url,he_count,she_count,name_in_profile
482,marc_abrahams,1,0,Marc Abrahams
483,greg_asner,1,0,Greg Asner
484,mina_bissell,0,3,Mina Bissell
485,frederick_balagadde,0,0,Frederick Balagadde
486,grady_booch,6,0,Grady Booch
487,lauran_arledge,0,4,Lauran Arledge
488,sandrine_thuret,0,0,Sandrine Thuret
489,rufus_griscom_alisa_volkam,5,3,Rufus Griscom + Alisa Volkman
490,kate_adams,0,2,Kate Adams
491,eva_zeisel,2,6,Eva Zeisel
492,io_tillett_wright,10,4,iO Tillett Wright
493,black,11,0,BLACK
494,camille_brown,0,1,Camille A. Brown
495,thomas_thwaites,4,0,Thomas Thwaites
496,severine_autesserre,0,2,Severine Autesserre
497,sergey_brin,0,0,Sergey Brin
498,sandra_aamodt,0,5,Sandra Aamodt
499,christiane_amanpour,0,2,Christiane Amanpour
500,joey_alexander,3,0,Joey Alexander
501,harry_baker,1,0,Harry Baker
502,jim_toomey,3,0,Jim Toomey
503,paola_antonelli,1,6,Paola Antonelli
504,eythor_bender,0,0,Eythor Bender
505,blaise_aguera_y_arcas,11,0,Blaise Agüera y Arcas
506,ruth_chang,0,5,Ruth Chang
507,diane_benscoter,0,8,Diane Benscoter
508,benjamin_wallace,5,0,Benjamin Wallace
509,laura_carstensen,0,3,Laura Carstensen
510,david_whyte,6,0,David Whyte
511,vicki_arroyo,0,0,Vicki Arroyo
512,jakob_trollback,1,0,Jakob Trollback
513,samuel_cohen,3,0,Samuel Cohen
514,stefan_wolff,7,0,Stefan Wolff
515,vishal_vaid,3,0,Vishal Vaid
516,sitawa_wafula,0,1,Sitawa Wafula
517,patricia_burchat,0,3,Patricia Burchat
518,johanna_blakley,0,2,Johanna Blakley
519,jackson_brown,3,0,Jackson Browne
520,jill_bolte_taylor,0,8,Jill Bolte Taylor
521,homaro_cantu,8,0,Homaro Cantu
522,jonathan_trent,6,0,Jonathan Trent
523,liu_bolin,4,0,Liu Bolin
524,tabetha_boyajian,0,0,Tabetha Boyajian
525,jon_bergmann,5,0,Jon Bergmann
526,katie_bouman,0,0,Katie Bouman
527,lauren_zalaznick,0,1,Lauren Zalaznick
528,halla_tomasdottir,0,6,Halla Tómasdóttir
529,andrew_bastawrous,5,0,Andrew Bastawrous
530,margrethe_vestager,0,3,Margrethe Vestager
531,james_veitch,4,0,James Veitch
532,einstein_the_parrot,0,6,Einstein the Parrot
533,david_r_williams,2,0,David R. Williams
534,nicholas_christakis,2,0,Nicholas Christakis
535,kevin_allocca,0,0,Kevin Allocca
536,marco_tempest,2,0,Marco Tempest
537,lemon_andersen,5,0,Lemon Andersen
538,edward_burtynsky,4,0,Edward Burtynsky
539,joel_burns,1,0,Joel Burns
540,kevin_bales,8,0,Kevin Bales
541,mitchell_besser,4,1,Mitchell Besser
542,shlomo_benartzi,1,0,Shlomo Benartzi
543,alejandro_aravena,8,1,Alejandro Aravena
544,olu_fe_mi_ta_i_wo,1,0,Olúfẹ́mi Táíwò
545,evan_williams,2,0,Evan Williams
546,dan_bricklin,4,0,Dan Bricklin
547,karen_armstrong,1,2,Karen Armstrong
548,monica_byrne,0,7,Monica Byrne
549,marwa_al_sabouni,0,5,Marwa Al-Sabouni
550,guy_winch,6,0,Guy Winch
551,ashton_applewhite,0,3,Ashton Applewhite
552,eva_vertes,0,7,Eva Vertes
553,shai_agassi,7,0,Shai Agassi
554,levon_biss,0,0,Levon Biss
555,tshering_tobgay,0,0,Tshering Tobgay
556,boyd_varty,1,0,Boyd Varty
557,george_whitesides,9,0,George Whitesides
558,kitra_cahana,1,5,Kitra Cahana
559,linda_cliatt_wayman,0,5,Linda Cliatt-Wayman
560,todd_coleman,0,0,Todd Coleman
561,laura_vanderkam,0,3,Laura Vanderkam
562,pierre_thiam,3,0,Pierre Thiam
563,anastasia_taylor_lind,0,1,Anastasia Taylor-Lind
564,anders_ynnerman,7,0,Anders Ynnerman
565,pearl_arredondo,0,10,Pearl Arredondo
566,mandy_len_catron,0,1,Mandy Len Catron
567,george_tulevski,3,0,George Tulevski
568,fahad_al_attiya,2,0,Fahad Al-Attiya
569,yann_arthus_bertrand,4,0,Yann Arthus-Bertrand
570,julian_assange,10,0,Julian Assange
571,emma_teeling,0,0,Emma Teeling
572,pam_warhurst,0,1,Pam  Warhurst
573,james_a_white_sr,7,0,James A. White Sr.
574,jessi_arrington,0,5,Jessi Arrington
575,keith_chen,4,0,Keith Chen
576,manwar_ali,5,0,Manwar Ali
577,russ_altman,3,0,Russ Altman
578,stella_young,0,5,Stella Young
579,daphne_bavelier,0,0,Daphne Bavelier
580,simon_berrow,2,0,Simon Berrow
581,kristen_ashburn,0,5,Kristen Ashburn
582,carol_f_cohen,0,3,Carol Cohen
583,conrad_wolfram,3,0,Conrad Wolfram
584,sarah_jayne_blakemore,2,1,Sarah-Jayne Blakemore
585,patrick_awuah,5,0,Patrick Awuah
586,dan_bell,0,0,Dan Bell
587,laura_boushnak,0,1,Laura Boushnak
588,theo_e_j_wilson,7,0,Theo E.J. Wilson
589,steven_addis,3,1,Steven Addis
590,oren_yakobovich,1,2,Oren Yakobovich
591,sheikha_al_mayassa,0,2,Sheikha Al Mayassa
592,lidia_yuknavitch,0,4,Lidia Yuknavitch
593,dustin_yellin_1,3,0,Dustin Yellin
594,jose_bowen,2,0,José Bowen
595,leana_wen,0,6,Leana Wen
596,zeresenay_alemseged,2,2,Zeresenay Alemseged
597,arthur_benjamin,4,0,Arthur Benjamin
598,serena_williams,0,4,Serena Williams
599,mary_bassett,0,5,Mary Bassett
600,robert_ballard,9,0,Robert Ballard
601,erik_brynjolfsson,0,0,Erik Brynjolfsson
602,bart_weetjens,0,0,Bart Weetjens
603,yochai_benkler,9,0,Yochai Benkler
604,they_might_be_giants,0,0,They Might Be Giants
605,molly_winter,0,2,Molly Winter
606,rick_warren,6,0,Rick Warren
607,j_j_abrams,3,0,J.J. Abrams
608,carolyn_steel,0,3,Carolyn Steel
609,ray_zahab,9,0,Ray Zahab
610,steven_wise,0,0,Steven Wise
611,philip_zimbardo,7,0,Philip Zimbardo
612,al_vernacchio,1,0,Al Vernacchio
613,eric_whitacre,6,0,Eric Whitacre
614,charity_wayua,0,3,Charity Wayua
615,charity_tilleman_dick,0,4,Charity Tillemann-Dick
616,susan_blackmore,0,6,Susan Blackmore
617,eric_berlow,2,0,Eric Berlow
618,rainn_wilson,2,0,Rainn Wilson
619,tim_berners_lee,8,0,Tim Berners-Lee
620,julian_baggini,8,0,Julian Baggini
621,david_autor,3,0,David Autor
622,miranda_wang_and_jenny_yao,0,0,Miranda Wang and Jeanny Yao
623,matthew_carter,4,0,Matthew Carter
624,anjali_tripathi,0,5,Anjali Tripathi
625,chade_meng_tan,4,0,Chade-Meng Tan
626,carin_bondar,0,2,Carin Bondar
627,jason_webb,3,0,Jason Webb
628,john_wilbanks,3,0,John Wilbanks
629,ursus_wehrli,0,0,Ursus Wehrli
630,amber_case,0,4,Amber Case
631,iwan_baan,1,0,Iwan Baan
632,shawn_achor,7,0,Shawn Achor
633,rogier_van_der_heide,3,0,Rogier van der Heide
634,fields_wicker_miurin,0,1,Fields Wicker-Miurin
635,daniel_wolpert,1,0,Daniel Wolpert
